name,platform,membership,title_id,product_id,concept_id,entitlement_id,is_preorder,is_downloadable,image_url,store_url
The Art of Horizon Zero Dawn™,PS4,NONE,CUSA07567_00,EP9000-CUSA07567_00-DIGIARTBOOK00000,,EP9000-CUSA07567_00-DIGIARTBOOK00000,False,True,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA07567_00/2/i_d8a1947b4f59d8d7327d3f9ad6202da0ee186bc7ced042bcca2ed51b4f9b6795/i/icon0.png,https://store.playstation.com/product/EP9000-CUSA07567_00-DIGIARTBOOK00000
A Plague Tale: Innocence,PS4,NONE,CUSA10812_00,EP4133-CUSA10812_00-APLAGUETALEGAME0,,EP4133-CUSA10812_00-APLAGUETALEGAME0,False,True,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA10812_00/3/i_a4d09cfb51b390c3d5f3ea77531bc847294e59386ed520f6edeb6ef377a3b4d7/i/icon0.png,https://store.playstation.com/product/EP4133-CUSA10812_00-APLAGUETALEGAME0
Assalto alla Rocca del Drago di Tiny Tina: Un'avventura unica nelle Wonderlands,PS4,PS_PLUS,CUSA30036_00,EP1001-CUSA30036_00-000PAWPAWSIEEPS4,,EP1001-CUSA30036_00-000PAWPAWSIEEPS4,False,True,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA30036_00/3/i_444fa386251ba61dd0c8962e49ed17a0e0d932d3e66ebe4a9aaad13a6e4f0a89/i/icon0.png,https://store.playstation.com/product/EP1001-CUSA30036_00-000PAWPAWSIEEPS4
EA SPORTS™ UFC® 4,PS4,PS_PLUS,CUSA14209_00,EP0006-CUSA14209_00-EASPORTSUFC4GAME,,EP0006-CUSA14209_00-EASPORTSUFC4GAME,False,True,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA14209_00/1/i_3dc2dd7dcb5d018484d0fa6eddf5830a1dacf9ab430103f33c2915e6de58a397/i/icon0.png,https://store.playstation.com/product/EP0006-CUSA14209_00-EASPORTSUFC4GAME
Planet Coaster,PS5,PS_PLUS,PPSA01735_00,EP2377-PPSA01735_00-PLANETCOASTER000,,EP2377-PPSA01735_00-PLANETCOASTER000,False,True,https://image.api.playstation.com/sgst/prod/00/PPSA01735_00/app/info/57/fi_6bb6d34bfb707f5d655c409963819df0cf5a31a8b0c14be3c0c20e06f6e4feb7/icon0.png,https://store.playstation.com/product/EP2377-PPSA01735_00-PLANETCOASTER000
Persona 5 Strikers,PS4,PS_PLUS,CUSA20040_00,EP0177-CUSA20040_00-BSTUBCUSA2004000,,EP0177-CUSA20040_00-0000000000000000,False,True,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA20040_00/1/i_2a28d5e20c985857183a43853dffe4f81c770cc027f1f09293bab3a1fd39ceb3/i/icon0.png,https://store.playstation.com/product/EP0177-CUSA20040_00-BSTUBCUSA2004000
The Matrix Awakens: An Unreal Engine 5 Experience,PS5,NONE,PPSA05754_00,EP1464-PPSA05754_00-MATRIXUNREALDEMO,,EP1464-PPSA05754_00-MATRIXUNREALDEMO,False,True,https://image.api.playstation.com/sgst/prod/00/PPSA05754_00/app/info/5/f_cf66e9e3e93da167c261e29f76060d39dd87bd058a1c9cfec2dd099f3718f648/icon0.png,https://store.playstation.com/product/EP1464-PPSA05754_00-MATRIXUNREALDEMO
Mortal Shell,PS4,PS_PLUS,CUSA20133_00,EP3495-CUSA20133_00-MORTALSHELLGGAME,,EP3495-CUSA20133_00-MORTALSHELL00001,False,True,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA20133_00/4/i_e3bb1107816d30585c772ad535c635312b6b0d0684ce3f6bbdc53bf73ca120f1/i/icon0.png,https://store.playstation.com/product/EP3495-CUSA20133_00-MORTALSHELLGGAME
LEGO® DC Super-Villains,PS4,PS_PLUS,CUSA11550_00,EP1018-CUSA11550_00-LEGODCVILLAINS00,,EP1018-CUSA11550_00-LEGODCVILLAINS00,False,True,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA11550_00/2/i_3e3c7607a4514fda9a0c1afafd7339d0909c0534274f5b63f651bea8e7272cb3/i/icon0.png,https://store.playstation.com/product/EP1018-CUSA11550_00-LEGODCVILLAINS00
Until You Fall,PS4,PS_PLUS,CUSA23195_00,EP0941-CUSA23195_00-UNTILYOUFALL0001,,EP0941-CUSA23195_00-UNTILYOUFALL0001,False,True,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA23195_00/3/i_71b466ef9f3e21445eb7f5d70dfa70c54457c4cfc343b740d0ac0539667eed8b/i/icon0.png,https://store.playstation.com/product/EP0941-CUSA23195_00-UNTILYOUFALL0001
The Persistence,PS4,PS_PLUS,CUSA07814_00,EP3393-CUSA07814_00-COMPEDIT25202048,,EP3393-CUSA07814_00-FRONTIER25202048,False,True,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA07814_00/9/i_a4cd04375be75eb6e2d56f3ec80ddee6066637669bd3afc36db2584a75969491/i/icon0.png,https://store.playstation.com/product/EP3393-CUSA07814_00-COMPEDIT25202048
